-126.05,-18.42,0,0.15283
-126.05,-18.42,0.6,0.15283
-125.93,-18.402,1.2,0.15283
-125.69,-18.365,1.8,0.15283
-125.34,-18.31,2.4,0.15283
-124.86,-18.237,3,0.15279
-124.27,-18.146,3.6,0.15289
-123.56,-18.036,4.2,0.15286
-122.73,-17.908,4.8,0.15286
-121.78,-17.762,5.4,0.15295
-120.71,-17.597,6,0.1531
-119.53,-17.415,6.6,0.15288
-118.22,-17.213,6.9856,0.15302
-116.84,-16.985,6.3856,0.16224
-115.58,-16.793,6.9856,0.15385
-114.2,-16.581,6.5354,0.15258
-112.91,-16.384,7.1354,0.15158
-111.5,-16.168,7.0607,0.15164
-110.1,-15.937,6.4607,0.16221
-108.83,-15.744,7.0607,0.15283
-107.43,-15.532,6.5408,0.15144
-106.14,-15.335,7.1408,0.15074
-104.73,-15.121,7.0562,0.15088
-103.33,-14.89,6.4562,0.16155
-102.06,-14.698,7.0562,0.15234
-100.66,-14.487,6.5377,0.15099
-99.368,-14.291,7.1377,0.15043
-97.957,-14.077,7.054,0.15061
-96.565,-13.847,6.454,0.1613
-95.289,-13.655,7.054,0.15217
-93.894,-13.443,6.5366,0.15084
-92.601,-13.248,7.1366,0.15032
-91.19,-13.034,7.0533,0.15052
-89.798,-12.804,6.4533,0.16121
-88.522,-12.612,7.0533,0.15211
-87.127,-12.401,6.5363,0.15079
-85.835,-12.205,7.1363,0.15028
-84.423,-11.991,7.053,0.15049
-83.032,-11.762,6.453,0.16118
-81.755,-11.57,7.053,0.15209
-80.361,-11.359,6.5362,0.15077
-79.068,-11.163,7.1362,0.15027
-77.657,-10.949,7.053,0.15047
-76.265,-10.719,6.453,0.16117
-74.989,-10.528,7.053,0.15208
-73.594,-10.316,6.5361,0.15076
-72.302,-10.121,7.1361,0.15027
-70.891,-9.9069,7.053,0.15047
-69.499,-9.677,6.453,0.16116
-68.223,-9.4856,7.053,0.15208
-66.828,-9.2741,6.5361,0.15076
-65.59,-9.693,6.7847,-0.19454
-64.305,-10.129,6.1847,-0.2978
-63.071,-10.217,5.5847,-0.13809
-62.276,-11.002,6.1609,-0.52214
-61.565,-12.009,6.7609,-0.82034
-60.787,-13.114,6.7745,-0.92641
-60.024,-14.234,6.1745,-0.96262
-59.395,-15.296,6.7745,-1.0147
-58.702,-16.461,6.2991,-1.0296
-58.108,-17.572,6.8991,-1.0662
-57.456,-18.788,6.8027,-1.0765
-56.795,-19.977,6.2027,-1.0661
-56.245,-21.089,6.8027,-1.0983
-55.638,-22.307,6.3266,-1.1063
-55.091,-23.448,6.9266,-1.1192
-54.492,-24.697,6.8302,-1.1225
-53.882,-25.919,6.2302,-1.1109
-53.356,-27.049,6.8302,-1.1283
-52.777,-28.286,6.3441,-1.1321
-52.246,-29.438,6.9441,-1.1369
-51.663,-30.699,6.842,-1.1377
-51.07,-31.932,6.242,-1.1256
-50.552,-33.068,6.842,-1.1382
-49.982,-34.312,6.3503,-1.1405
-49.456,-35.468,6.9503,-1.1426
-48.878,-36.732,6.8456,-1.1427
-48.291,-37.969,6.2456,-1.1305
-47.776,-39.107,6.8456,-1.1419
-47.209,-40.353,6.3522,-1.1433
-46.685,-41.51,6.9522,-1.1446
-46.109,-42.776,6.8466,-1.1443
-45.523,-44.014,6.2466,-1.132
-45.009,-45.152,6.8466,-1.1425
-44.443,-46.399,6.3527,-1.1442
-43.919,-47.557,6.9527,-1.1451
-43.344,-48.823,6.8469,-1.1449
-42.759,-50.061,6.2469,-1.1326
-42.245,-51.2,6.8469,-1.1429
-41.68,-52.447,6.3528,-1.1446
-41.156,-53.604,6.9528,-1.1453
-40.583,-54.872,6.8469,-1.1463
-39.998,-56.109,6.2469,-1.1327
-39.484,-57.248,6.8469,-1.1429
-38.924,-58.498,6.3528,-1.1481
-38.399,-59.655,6.9528,-1.1457
-37.825,-60.922,6.847,-1.1457
-37.28,-62.178,6.247,-1.1579
-36.759,-63.313,6.847,-1.1454
-36.191,-64.559,6.3529,-1.1436
-35.661,-65.714,6.9529,-1.1416
-35.083,-66.979,6.847,-1.1418
-34.533,-68.233,6.247,-1.154
-34.009,-69.367,6.847,-1.1427
-33.438,-70.612,6.3529,-1.1413
-32.908,-71.767,6.9529,-1.1402
-32.327,-73.03,6.847,-1.1404
-31.776,-74.284,6.247,-1.1527
-31.252,-75.418,6.847,-1.1422
-30.68,-76.662,6.3529,-1.1405
-30.149,-77.816,6.9529,-1.1397
